n_ewe_per_batch,n_batches,total_base_ewes,total_rams,pens_mate,pens_preg,pens_nurs,pens_rest,pens_fatt,pens_ram,total_pens,annual_output
6,45,270,6,4,30,8,4,42,1,89,860.6986899563319
10,27,270,6,3,36,10,3,50,1,103,860.6986899563319
7,38,266,6,4,25,14,4,35,1,83,847.9475982532751
14,19,266,6,2,26,12,2,36,1,79,847.9475982532751
5,53,265,6,5,35,10,5,49,1,105,844.759825327511
6,44,264,6,4,29,8,4,41,1,87,841.5720524017468
8,33,264,6,3,22,12,3,62,1,103,841.5720524017468
11,24,264,6,3,32,10,3,46,1,95,841.5720524017468
12,22,264,6,2,30,8,2,42,1,85,841.5720524017468
9,29,261,6,3,38,12,3,54,1,111,832.0087336244542
5,52,260,6,5,34,10,5,48,1,103,828.82096069869
10,26,260,6,3,34,10,3,48,1,99,828.82096069869
13,20,260,6,2,28,12,2,38,1,83,828.82096069869
7,37,259,6,4,25,14,4,34,1,82,825.6331877729258
6,43,258,6,4,28,8,4,40,1,85,822.4454148471616
8,32,256,6,3,21,12,3,60,1,100,816.0698689956332
5,51,255,6,5,34,9,5,47,1,101,812.882096069869
11,23,253,6,3,30,10,3,44,1,91,806.5065502183406
6,42,252,6,4,28,8,4,39,1,84,803.3187772925764
7,36,252,6,4,24,14,4,34,1,81,803.3187772925764
9,28,252,6,3,38,10,3,52,1,107,803.3187772925764
12,21,252,6,2,28,8,2,40,1,81,803.3187772925764
14,18,252,6,2,24,12,2,34,1,75,803.3187772925764
5,50,250,5,5,33,9,5,46,0,98,796.943231441048
10,25,250,5,3,34,10,3,46,1,97,796.943231441048
8,31,248,5,3,21,12,3,58,1,98,790.5676855895197
13,19,247,5,2,26,12,2,36,1,79,787.3799126637555
6,41,246,5,4,27,8,4,38,1,82,784.1921397379913
5,49,245,5,5,32,9,5,45,0,96,781.0043668122271
7,35,245,5,4,23,14,4,33,1,79,781.0043668122271
9,27,243,5,3,36,10,3,50,1,103,774.6288209606987
11,22,242,5,2,30,8,2,42,1,85,771.4410480349345
5,48,240,5,5,32,9,5,45,0,96,765.0655021834061
6,40,240,5,4,27,7,4,37,1,80,765.0655021834061
8,30,240,5,3,20,12,3,56,1,95,765.0655021834061
10,24,240,5,3,32,10,3,46,1,95,765.0655021834061
12,20,240,5,2,28,8,2,38,1,79,765.0655021834061
7,34,238,5,3,23,12,3,32,1,74,758.6899563318777
14,17,238,5,2,24,9,2,32,1,70,758.6899563318777
5,47,235,5,5,31,9,5,44,0,94,749.1266375545852
6,39,234,5,4,26,7,4,36,1,78,745.938864628821
9,26,234,5,3,34,10,3,48,1,99,745.938864628821
13,18,234,5,2,24,12,2,34,1,75,745.938864628821
8,29,232,5,3,19,12,3,54,1,92,739.5633187772926
7,33,231,5,3,22,12,3,31,1,72,736.3755458515284
11,21,231,5,2,28,8,2,40,1,81,736.3755458515284
5,46,230,5,5,30,9,5,43,0,92,733.1877729257642
10,23,230,5,3,30,10,3,44,1,91,733.1877729257642
4,57,228,5,5,38,10,5,53,0,111,726.8122270742358
6,38,228,5,4,25,7,4,35,1,76,726.8122270742358
12,19,228,5,2,26,8,2,36,1,75,726.8122270742358
5,45,225,5,4,30,8,4,42,1,89,717.2489082969432
9,25,225,5,3,34,10,3,46,1,97,717.2489082969432
4,56,224,5,5,37,10,5,52,0,109,714.061135371179
7,32,224,5,3,21,12,3,30,1,70,714.061135371179
8,28,224,5,3,19,10,3,52,1,88,714.061135371179
14,16,224,5,2,22,9,2,30,1,66,714.061135371179
6,37,222,5,4,25,7,4,34,1,75,707.6855895196506
13,17,221,5,2,24,9,2,32,1,70,704.4978165938865
4,55,220,5,5,36,10,5,51,0,107,701.3100436681223
5,44,220,5,4,29,8,4,41,1,87,701.3100436681223
10,22,220,5,2,30,8,2,42,1,85,701.3100436681223
11,20,220,5,2,28,8,2,38,1,79,701.3100436681223
7,31,217,5,3,21,12,3,29,1,69,691.7467248908297
4,54,216,5,5,36,10,5,50,0,106,688.5589519650655
6,36,216,5,4,24,7,4,34,1,74,688.5589519650655
8,27,216,5,3,18,10,3,50,1,85,688.5589519650655
9,24,216,5,3,32,10,3,46,1,95,688.5589519650655
12,18,216,5,2,24,8,2,34,1,71,688.5589519650655
5,43,215,5,4,28,8,4,40,1,85,685.3711790393013
4,53,212,5,5,35,10,5,49,0,104,675.8078602620087
5,42,210,5,4,28,8,4,39,1,84,669.4323144104803
6,35,210,5,4,23,7,4,33,1,72,669.4323144104803
7,30,210,5,3,20,12,3,28,1,67,669.4323144104803
10,21,210,5,2,28,8,2,40,1,81,669.4323144104803
14,15,210,5,2,20,9,2,28,1,62,669.4323144104803
11,19,209,5,2,26,8,2,36,1,75,666.2445414847161
4,52,208,5,5,34,10,5,48,0,102,663.056768558952
8,26,208,5,3,17,10,3,48,1,82,663.056768558952
13,16,208,5,2,22,9,2,30,1,66,663.056768558952
9,23,207,5,3,30,10,3,44,1,91,659.8689956331878
5,41,205,5,4,27,8,4,38,1,82,653.4934497816594
4,51,204,5,5,34,9,5,47,0,100,650.3056768558952
6,34,204,5,3,23,6,3,32,1,68,650.3056768558952
12,17,204,5,2,24,6,2,32,1,67,650.3056768558952
7,29,203,5,3,19,12,3,27,1,65,647.117903930131
4,50,200,5,5,33,9,5,46,0,98,637.5545851528384
5,40,200,4,4,27,7,4,37,0,79,637.5545851528384
8,25,200,4,3,17,10,3,46,1,80,637.5545851528384
10,20,200,4,2,28,8,2,38,1,79,637.5545851528384
6,33,198,4,3,22,6,3,31,1,66,631.17903930131
9,22,198,4,2,30,8,2,42,1,85,631.17903930131
11,18,198,4,2,24,8,2,34,1,71,631.17903930131
4,49,196,5,5,32,9,5,45,0,96,624.8034934497816
7,28,196,4,3,19,10,3,26,1,62,624.8034934497816
14,14,196,4,2,20,9,2,26,1,60,624.8034934497816
5,39,195,4,4,26,7,4,36,0,77,621.6157205240174
13,15,195,4,2,20,9,2,28,1,62,621.6157205240174
4,48,192,5,5,32,9,5,45,0,96,612.0524017467249
6,32,192,4,3,21,6,3,30,1,64,612.0524017467249
8,24,192,4,3,16,10,3,46,1,79,612.0524017467249
12,16,192,4,2,22,6,2,30,1,63,612.0524017467249
5,38,190,4,4,25,7,4,35,0,75,605.6768558951965
10,19,190,4,2,26,8,2,36,1,75,605.6768558951965
7,27,189,4,3,18,10,3,25,1,60,602.4890829694323
9,21,189,4,2,28,8,2,40,1,81,602.4890829694323
4,47,188,5,5,31,9,5,44,0,94,599.3013100436681
11,17,187,4,2,24,6,2,32,1,67,596.1135371179039
6,31,186,4,3,21,6,3,29,1,63,592.9257641921397
5,37,185,4,4,25,7,4,34,0,74,589.7379912663755
4,46,184,5,5,30,9,5,43,0,92,586.5502183406113
8,23,184,4,3,15,10,3,44,1,76,586.5502183406113
7,26,182,4,3,17,10,3,24,1,58,580.1746724890829
13,14,182,4,2,20,9,2,26,1,60,580.1746724890829
14,13,182,4,2,18,9,2,24,1,56,580.1746724890829
4,45,180,4,4,30,8,4,42,0,88,573.7991266375545
5,36,180,4,4,24,7,4,34,0,73,573.7991266375545
6,30,180,4,3,20,6,3,28,1,61,573.7991266375545
9,20,180,4,2,28,8,2,38,1,79,573.7991266375545
10,18,180,4,2,24,8,2,34,1,71,573.7991266375545
12,15,180,4,2,20,6,2,28,1,59,573.7991266375545
4,44,176,4,4,29,8,4,41,0,86,561.0480349344978
8,22,176,4,2,15,8,2,42,1,70,561.0480349344978
11,16,176,4,2,22,6,2,30,1,63,561.0480349344978
5,35,175,4,4,23,7,4,33,0,71,557.8602620087336
7,25,175,4,3,17,10,3,23,1,57,557.8602620087336
6,29,174,4,3,19,6,3,27,1,59,554.6724890829694
4,43,172,4,4,28,8,4,40,0,84,548.296943231441
3,57,171,5,5,38,10,5,53,0,111,545.1091703056769
9,19,171,4,2,26,8,2,36,1,75,545.1091703056769
5,34,170,4,3,23,6,3,32,1,68,541.9213973799127
10,17,170,4,2,24,6,2,32,1,67,541.9213973799127
13,13,169,4,2,18,9,2,24,1,56,538.7336244541485
3,56,168,5,5,37,10,5,52,0,109,535.5458515283843
4,42,168,4,4,28,8,4,39,0,83,535.5458515283843
6,28,168,4,3,19,5,3,26,1,57,535.5458515283843
7,24,168,4,3,16,10,3,23,1,56,535.5458515283843
8,21,168,4,2,14,8,2,40,1,67,535.5458515283843
12,14,168,4,2,20,6,2,26,1,57,535.5458515283843
14,12,168,4,2,16,9,2,24,1,54,535.5458515283843
3,55,165,5,5,36,10,5,51,0,107,525.9825327510918
5,33,165,4,3,22,6,3,31,1,66,525.9825327510918
11,15,165,4,2,20,6,2,28,1,59,525.9825327510918
4,41,164,4,4,27,8,4,38,0,81,522.7947598253276
3,54,162,5,5,36,10,5,50,0,106,516.4192139737992
6,27,162,4,3,18,5,3,25,1,55,516.4192139737992
9,18,162,4,2,24,8,2,34,1,71,516.4192139737992
7,23,161,4,3,15,10,3,22,1,54,513.231441048035
4,40,160,4,4,27,7,4,37,0,79,510.04366812227073
5,32,160,4,3,21,6,3,30,1,64,510.04366812227073
8,20,160,4,2,14,8,2,38,1,65,510.04366812227073
10,16,160,4,2,22,6,2,30,1,63,510.04366812227073
3,53,159,5,5,35,10,5,49,0,104,506.85589519650654
3,52,156,5,5,34,10,5,48,0,102,497.29257641921396
4,39,156,4,4,26,7,4,36,0,77,497.29257641921396
6,26,156,4,3,17,5,3,24,1,53,497.29257641921396
12,13,156,4,2,18,6,2,24,1,53,497.29257641921396
13,12,156,4,2,16,9,2,24,1,54,497.29257641921396
5,31,155,4,3,21,6,3,29,1,63,494.10480349344977
7,22,154,4,2,15,8,2,21,1,49,490.9170305676856
11,14,154,4,2,20,6,2,26,1,57,490.9170305676856
14,11,154,4,1,16,6,1,22,1,47,490.9170305676856
3,51,153,5,5,34,9,5,47,0,100,487.7292576419214
9,17,153,4,2,24,6,2,32,1,67,487.7292576419214
4,38,152,4,4,25,7,4,35,0,75,484.5414847161572
8,19,152,4,2,13,8,2,36,1,62,484.5414847161572
3,50,150,5,5,33,9,5,46,0,98,478.1659388646288
5,30,150,3,3,20,6,3,28,0,60,478.1659388646288
6,25,150,3,3,17,5,3,23,0,51,478.1659388646288
10,15,150,3,2,20,6,2,28,1,59,478.1659388646288
4,37,148,4,4,25,7,4,34,0,74,471.7903930131004
3,49,147,5,5,32,9,5,45,0,96,468.6026200873362
7,21,147,3,2,14,8,2,20,1,47,468.6026200873362
5,29,145,3,3,19,6,3,27,0,58,462.22707423580783
3,48,144,5,5,32,9,5,45,0,96,459.03930131004364
4,36,144,4,4,24,7,4,34,0,73,459.03930131004364
6,24,144,3,3,16,5,3,23,0,50,459.03930131004364
8,18,144,3,2,12,8,2,34,1,59,459.03930131004364
9,16,144,3,2,22,6,2,30,1,63,459.03930131004364
12,12,144,3,2,16,6,2,24,1,51,459.03930131004364
11,13,143,3,2,18,6,2,24,1,53,455.8515283842795
13,11,143,3,1,16,6,1,22,1,47,455.8515283842795
3,47,141,5,5,31,9,5,44,0,94,449.4759825327511
4,35,140,4,4,23,7,4,33,0,71,446.2882096069869
5,28,140,3,3,19,5,3,26,0,56,446.2882096069869
7,20,140,3,2,14,8,2,19,1,46,446.2882096069869
10,14,140,3,2,20,6,2,26,1,57,446.2882096069869
14,10,140,3,1,14,6,1,20,1,43,446.2882096069869
3,46,138,5,5,30,9,5,43,0,92,439.91266375545854
6,23,138,3,3,15,5,3,22,0,48,439.91266375545854
4,34,136,3,3,23,6,3,32,0,67,433.53711790393015
8,17,136,3,2,12,6,2,32,1,55,433.53711790393015
3,45,135,4,4,30,8,4,42,0,88,430.34934497816596
5,27,135,3,3,18,5,3,25,0,54,430.34934497816596
9,15,135,3,2,20,6,2,28,1,59,430.34934497816596
7,19,133,3,2,13,8,2,18,1,44,423.9737991266376
3,44,132,4,4,29,8,4,41,0,86,420.7860262008734
4,33,132,3,3,22,6,3,31,0,65,420.7860262008734
6,22,132,3,2,15,4,2,21,1,45,420.7860262008734
11,12,132,3,2,16,6,2,24,1,51,420.7860262008734
12,11,132,3,1,16,4,1,22,1,45,420.7860262008734
5,26,130,3,3,17,5,3,24,0,52,414.410480349345
10,13,130,3,2,18,6,2,24,1,53,414.410480349345
13,10,130,3,1,14,6,1,20,1,43,414.410480349345
3,43,129,4,4,28,8,4,40,0,84,411.2227074235808
4,32,128,3,3,21,6,3,30,0,63,408.0349344978166
8,16,128,3,2,11,6,2,30,1,52,408.0349344978166
3,42,126,4,4,28,8,4,39,0,83,401.6593886462882
6,21,126,3,2,14,4,2,20,1,43,401.6593886462882
7,18,126,3,2,12,8,2,17,1,42,401.6593886462882
9,14,126,3,2,20,6,2,26,1,57,401.6593886462882
14,9,126,3,1,12,6,1,18,1,39,401.6593886462882
5,25,125,3,3,17,5,3,23,0,51,398.471615720524
4,31,124,3,3,21,6,3,29,0,62,395.28384279475983
3,41,123,4,4,27,8,4,38,0,81,392.09606986899564
11,11,121,3,1,16,4,1,22,1,45,385.72052401746726
3,40,120,4,4,27,7,4,37,0,79,382.53275109170306
4,30,120,3,3,20,6,3,28,0,60,382.53275109170306
5,24,120,3,3,16,5,3,23,0,50,382.53275109170306
6,20,120,3,2,14,4,2,19,1,42,382.53275109170306
8,15,120,3,2,10,6,2,28,1,49,382.53275109170306
10,12,120,3,2,16,6,2,24,1,51,382.53275109170306
12,10,120,3,1,14,4,1,20,1,41,382.53275109170306
7,17,119,3,2,12,6,2,16,1,39,379.34497816593887
3,39,117,4,4,26,7,4,36,0,77,372.9694323144105
9,13,117,3,2,18,6,2,24,1,53,372.9694323144105
13,9,117,3,1,12,6,1,18,1,39,372.9694323144105
4,29,116,3,3,19,6,3,27,0,58,369.7816593886463
5,23,115,3,3,15,5,3,22,0,48,366.5938864628821
2,57,114,5,5,38,10,5,53,0,111,363.4061135371179
3,38,114,4,4,25,7,4,35,0,75,363.4061135371179
6,19,114,3,2,13,4,2,18,1,40,363.4061135371179
2,56,112,5,5,37,10,5,52,0,109,357.0305676855895
4,28,112,3,3,19,5,3,26,0,56,357.0305676855895
7,16,112,3,2,11,6,2,15,1,37,357.0305676855895
8,14,112,3,2,10,6,2,26,1,47,357.0305676855895
14,8,112,3,1,12,6,1,16,1,37,357.0305676855895
3,37,111,4,4,25,7,4,34,0,74,353.8427947598253
2,55,110,5,5,36,10,5,51,0,107,350.65502183406113
5,22,110,3,2,15,4,2,21,1,45,350.65502183406113
10,11,110,3,1,16,4,1,22,1,45,350.65502183406113
11,10,110,3,1,14,4,1,20,1,41,350.65502183406113
2,54,108,5,5,36,10,5,50,0,106,344.27947598253274
3,36,108,4,4,24,7,4,34,0,73,344.27947598253274
4,27,108,3,3,18,5,3,25,0,54,344.27947598253274
6,18,108,3,2,12,4,2,17,1,38,344.27947598253274
9,12,108,3,2,16,6,2,24,1,51,344.27947598253274
12,9,108,3,1,12,4,1,18,1,37,344.27947598253274
2,53,106,5,5,35,10,5,49,0,104,337.90393013100436
3,35,105,4,4,23,7,4,33,0,71,334.71615720524017
5,21,105,3,2,14,4,2,20,1,43,334.71615720524017
7,15,105,3,2,10,6,2,14,1,35,334.71615720524017
2,52,104,5,5,34,10,5,48,0,102,331.528384279476
4,26,104,3,3,17,5,3,24,0,52,331.528384279476
8,13,104,3,2,9,6,2,24,1,44,331.528384279476
13,8,104,3,1,12,6,1,16,1,37,331.528384279476
2,51,102,5,5,34,9,5,47,0,100,325.1528384279476
3,34,102,3,3,23,6,3,32,0,67,325.1528384279476
6,17,102,3,2,12,3,2,16,1,36,325.1528384279476
2,50,100,5,5,33,9,5,46,0,98,318.7772925764192
4,25,100,3,3,17,5,3,23,0,51,318.7772925764192
5,20,100,2,2,14,4,2,19,0,41,318.7772925764192
10,10,100,2,1,14,4,1,20,1,41,318.7772925764192
3,33,99,3,3,22,6,3,31,0,65,315.589519650655
9,11,99,2,1,16,4,1,22,1,45,315.589519650655
11,9,99,2,1,12,4,1,18,1,37,315.589519650655
2,49,98,5,5,32,9,5,45,0,96,312.4017467248908
7,14,98,2,2,10,6,2,13,0,33,312.4017467248908
14,7,98,2,1,10,6,1,14,1,33,312.4017467248908
2,48,96,5,5,32,9,5,45,0,96,306.0262008733624
3,32,96,3,3,21,6,3,30,0,63,306.0262008733624
4,24,96,3,3,16,5,3,23,0,50,306.0262008733624
6,16,96,2,2,11,3,2,15,0,33,306.0262008733624
8,12,96,2,2,8,6,2,24,0,42,306.0262008733624
12,8,96,2,1,12,4,1,16,1,35,306.0262008733624
5,19,95,2,2,13,4,2,18,0,39,302.83842794759823
2,47,94,5,5,31,9,5,44,0,94,299.65065502183404
3,31,93,3,3,21,6,3,29,0,62,296.46288209606985
2,46,92,5,5,30,9,5,43,0,92,293.27510917030565
4,23,92,3,3,15,5,3,22,0,48,293.27510917030565
7,13,91,2,2,9,6,2,12,0,31,290.08733624454146
13,7,91,2,1,10,6,1,14,1,33,290.08733624454146
2,45,90,4,4,30,8,4,42,0,88,286.89956331877727
3,30,90,3,3,20,6,3,28,0,60,286.89956331877727
5,18,90,2,2,12,4,2,17,0,37,286.89956331877727
6,15,90,2,2,10,3,2,14,0,31,286.89956331877727
9,10,90,2,1,14,4,1,20,1,41,286.89956331877727
10,9,90,2,1,12,4,1,18,1,37,286.89956331877727
2,44,88,4,4,29,8,4,41,0,86,280.5240174672489
4,22,88,2,2,15,4,2,21,0,44,280.5240174672489
8,11,88,2,1,8,4,1,22,1,37,280.5240174672489
11,8,88,2,1,12,4,1,16,1,35,280.5240174672489
3,29,87,3,3,19,6,3,27,0,58,277.3362445414847
2,43,86,4,4,28,8,4,40,0,84,274.1484716157205
5,17,85,2,2,12,3,2,16,0,35,270.96069868995636
2,42,84,4,4,28,8,4,39,0,83,267.77292576419217
3,28,84,3,3,19,5,3,26,0,56,267.77292576419217
4,21,84,2,2,14,4,2,20,0,42,267.77292576419217
6,14,84,2,2,10,3,2,13,0,30,267.77292576419217
7,12,84,2,2,8,6,2,12,0,30,267.77292576419217
12,7,84,2,1,10,4,1,14,1,31,267.77292576419217
14,6,84,2,1,8,6,1,12,1,29,267.77292576419217
2,41,82,4,4,27,8,4,38,0,81,261.3973799126638
3,27,81,3,3,18,5,3,25,0,54,258.2096069868996
9,9,81,2,1,12,4,1,18,1,37,258.2096069868996
2,40,80,4,4,27,7,4,37,0,79,255.02183406113537
4,20,80,2,2,14,4,2,19,0,41,255.02183406113537
5,16,80,2,2,11,3,2,15,0,33,255.02183406113537
8,10,80,2,1,7,4,1,20,1,34,255.02183406113537
10,8,80,2,1,12,4,1,16,1,35,255.02183406113537
2,39,78,4,4,26,7,4,36,0,77,248.64628820960698
3,26,78,3,3,17,5,3,24,0,52,248.64628820960698
6,13,78,2,2,9,3,2,12,0,28,248.64628820960698
13,6,78,2,1,8,6,1,12,1,29,248.64628820960698
7,11,77,2,1,8,4,1,11,1,26,245.4585152838428
11,7,77,2,1,10,4,1,14,1,31,245.4585152838428
2,38,76,4,4,25,7,4,35,0,75,242.2707423580786
4,19,76,2,2,13,4,2,18,0,39,242.2707423580786
3,25,75,3,3,17,5,3,23,0,51,239.0829694323144
5,15,75,2,2,10,3,2,14,0,31,239.0829694323144
2,37,74,4,4,25,7,4,34,0,74,235.8951965065502
2,36,72,4,4,24,7,4,34,0,73,229.51965065502182
3,24,72,3,3,16,5,3,23,0,50,229.51965065502182
4,18,72,2,2,12,4,2,17,0,37,229.51965065502182
6,12,72,2,2,8,3,2,12,0,27,229.51965065502182
8,9,72,2,1,6,4,1,18,1,31,229.51965065502182
9,8,72,2,1,12,4,1,16,1,35,229.51965065502182
12,6,72,2,1,8,4,1,12,1,27,229.51965065502182
2,35,70,4,4,23,7,4,33,0,71,223.14410480349346
5,14,70,2,2,10,3,2,13,0,30,223.14410480349346
7,10,70,2,1,7,4,1,10,1,24,223.14410480349346
10,7,70,2,1,10,4,1,14,1,31,223.14410480349346
14,5,70,2,1,8,3,1,10,1,24,223.14410480349346
3,23,69,3,3,15,5,3,22,0,48,219.95633187772927
2,34,68,3,3,23,6,3,32,0,67,216.76855895196508
4,17,68,2,2,12,3,2,16,0,35,216.76855895196508
2,33,66,3,3,22,6,3,31,0,65,210.3930131004367
3,22,66,2,2,15,4,2,21,0,44,210.3930131004367
6,11,66,2,1,8,2,1,11,1,24,210.3930131004367
11,6,66,2,1,8,4,1,12,1,27,210.3930131004367
5,13,65,2,2,9,3,2,12,0,28,207.2052401746725
13,5,65,2,1,8,3,1,10,1,24,207.2052401746725
2,32,64,3,3,21,6,3,30,0,63,204.0174672489083
4,16,64,2,2,11,3,2,15,0,33,204.0174672489083
8,8,64,2,1,6,4,1,16,1,29,204.0174672489083
3,21,63,2,2,14,4,2,20,0,42,200.8296943231441
7,9,63,2,1,6,4,1,9,1,22,200.8296943231441
9,7,63,2,1,10,4,1,14,1,31,200.8296943231441
2,31,62,3,3,21,6,3,29,0,62,197.64192139737992
2,30,60,3,3,20,6,3,28,0,60,191.26637554585153
3,20,60,2,2,14,4,2,19,0,41,191.26637554585153
4,15,60,2,2,10,3,2,14,0,31,191.26637554585153
5,12,60,2,2,8,3,2,12,0,27,191.26637554585153
6,10,60,2,1,7,2,1,10,1,22,191.26637554585153
10,6,60,2,1,8,4,1,12,1,27,191.26637554585153
12,5,60,2,1,8,2,1,10,1,23,191.26637554585153
2,29,58,3,3,19,6,3,27,0,58,184.89082969432314
1,57,57,5,5,38,10,5,53,0,111,181.70305676855895
3,19,57,2,2,13,4,2,18,0,39,181.70305676855895
1,56,56,5,5,37,10,5,52,0,109,178.51528384279476
2,28,56,3,3,19,5,3,26,0,56,178.51528384279476
4,14,56,2,2,10,3,2,13,0,30,178.51528384279476
7,8,56,2,1,6,4,1,8,1,21,178.51528384279476
8,7,56,2,1,5,4,1,14,1,26,178.51528384279476
14,4,56,2,1,6,3,1,8,1,20,178.51528384279476
1,55,55,5,5,36,10,5,51,0,107,175.32751091703057
5,11,55,2,1,8,2,1,11,1,24,175.32751091703057
11,5,55,2,1,8,2,1,10,1,23,175.32751091703057
1,54,54,5,5,36,10,5,50,0,106,172.13973799126637
2,27,54,3,3,18,5,3,25,0,54,172.13973799126637
3,18,54,2,2,12,4,2,17,0,37,172.13973799126637
6,9,54,2,1,6,2,1,9,1,20,172.13973799126637
9,6,54,2,1,8,4,1,12,1,27,172.13973799126637
1,53,53,5,5,35,10,5,49,0,104,168.95196506550218
1,52,52,5,5,34,10,5,48,0,102,165.764192139738
2,26,52,3,3,17,5,3,24,0,52,165.764192139738
4,13,52,2,2,9,3,2,12,0,28,165.764192139738
13,4,52,2,1,6,3,1,8,1,20,165.764192139738
1,51,51,5,5,34,9,5,47,0,100,162.5764192139738
3,17,51,2,2,12,3,2,16,0,35,162.5764192139738
1,50,50,5,5,33,9,5,46,0,98,159.3886462882096
2,25,50,3,3,17,5,3,23,0,51,159.3886462882096
5,10,50,1,1,7,2,1,10,0,21,159.3886462882096
10,5,50,1,1,8,2,1,10,0,22,159.3886462882096
1,49,49,5,5,32,9,5,45,0,96,156.2008733624454
7,7,49,1,1,5,4,1,7,0,18,156.2008733624454
1,48,48,5,5,32,9,5,45,0,96,153.0131004366812
2,24,48,3,3,16,5,3,23,0,50,153.0131004366812
3,16,48,2,2,11,3,2,15,0,33,153.0131004366812
4,12,48,2,2,8,3,2,12,0,27,153.0131004366812
6,8,48,1,1,6,2,1,8,0,18,153.0131004366812
8,6,48,1,1,4,4,1,12,0,22,153.0131004366812
12,4,48,1,1,6,2,1,8,0,18,153.0131004366812
1,47,47,5,5,31,9,5,44,0,94,149.82532751091702
1,46,46,5,5,30,9,5,43,0,92,146.63755458515283
2,23,46,3,3,15,5,3,22,0,48,146.63755458515283
1,45,45,4,4,30,8,4,42,0,88,143.44978165938863
3,15,45,2,2,10,3,2,14,0,31,143.44978165938863
5,9,45,1,1,6,2,1,9,0,19,143.44978165938863
9,5,45,1,1,8,2,1,10,0,22,143.44978165938863
1,44,44,4,4,29,8,4,41,0,86,140.26200873362444
2,22,44,2,2,15,4,2,21,0,44,140.26200873362444
