day,x_t,pen_mate,pen_preg,pen_nurs,pen_rest,pen_fatt,pen_total
139,2,3,35,13,3,56,112
140,2,3,35,12,3,56,111
141,2,3,35,12,3,56,111
142,2,3,35,12,3,56,111
143,2,3,35,13,3,56,112
144,2,3,35,13,3,56,112
145,2,3,35,13,3,56,112
146,2,3,35,13,3,56,112
147,2,3,35,13,3,56,112
148,2,3,35,13,3,56,112
149,2,3,35,13,3,56,112
150,0,3,35,13,3,56,112
151,2,3,35,13,3,56,112
152,2,3,35,13,3,56,112
153,2,3,35,12,3,56,111
154,2,3,35,12,3,56,111
155,2,3,35,12,3,56,111
156,2,3,35,13,3,56,112
157,2,3,35,13,3,56,112
158,2,3,35,13,3,56,112
159,2,3,35,13,3,56,112
160,2,3,35,13,3,56,112
161,2,3,35,13,3,56,112
162,2,3,35,13,3,56,112
163,0,3,35,13,3,56,112
164,2,3,35,13,3,56,112
165,2,3,35,13,3,56,112
166,2,3,35,12,3,56,111
167,2,3,35,12,3,56,111
168,2,3,35,12,3,56,111
169,2,3,35,13,3,56,112
170,2,3,35,13,3,56,112
171,2,3,35,13,3,56,112
172,2,3,35,13,3,56,112
173,2,3,35,13,3,56,112
174,2,3,35,13,3,56,112
175,2,3,35,13,3,56,112
176,0,3,35,13,3,56,112
177,2,3,35,13,3,56,112
178,2,3,35,13,3,56,112
179,2,3,35,13,3,56,112
180,2,3,35,13,3,56,112
181,2,3,35,13,3,56,112
182,2,3,35,13,3,56,112
183,2,3,35,13,3,56,112
184,2,3,35,13,3,56,112
185,2,3,35,13,3,56,112
186,2,3,35,13,3,56,112
187,2,3,35,13,3,56,112
188,2,3,35,13,3,56,112
189,0,3,35,13,3,56,112
190,2,3,35,13,3,56,112
191,2,3,35,13,3,56,112
192,2,3,35,13,3,56,112
193,2,3,35,13,3,56,112
194,2,3,35,13,3,56,112
195,2,3,35,13,3,56,112
196,2,3,35,13,3,56,112
197,2,3,35,13,3,56,112
198,2,3,35,13,3,56,112
199,2,3,35,13,3,56,112
200,0,3,35,13,3,56,112
201,2,3,35,13,3,56,112
202,2,3,35,13,3,56,112
203,2,3,35,13,3,56,112
204,2,3,35,13,3,56,112
205,2,3,35,13,3,56,112
206,2,3,35,13,3,56,112
207,2,3,35,13,3,56,112
208,2,3,35,13,3,56,112
209,2,3,35,13,3,56,112
210,2,3,35,13,3,56,112
211,2,3,35,13,3,56,112
212,2,3,35,13,3,56,112
213,0,3,35,13,3,56,112
214,2,3,35,13,3,56,112
215,2,3,35,13,3,56,112
216,2,3,35,13,3,56,112
217,2,3,35,13,3,56,112
218,2,3,35,13,3,56,112
219,2,3,35,13,3,56,112
220,2,3,35,13,3,56,112
221,2,3,35,13,3,56,112
222,2,3,35,13,3,56,112
223,2,3,35,13,3,56,112
224,2,3,35,13,3,56,112
225,2,3,35,13,3,56,112
226,0,3,35,13,3,56,112
227,2,3,35,13,3,56,112
228,2,3,35,13,3,56,112
