day,cycle_day,x_t,b_t,pens_mate,pens_preg,pens_nurs,pens_rest,pens_fatt,pens_ram,pens_total
43,43,0,0,2,35,14,3,55,2,111
44,44,14,1,3,35,14,2,55,2,111
45,45,0,0,3,35,14,2,55,2,111
46,46,0,0,3,35,12,3,57,2,112
47,47,0,0,3,35,12,3,57,2,112
48,48,0,0,3,35,12,3,57,2,112
49,49,0,0,3,35,12,3,57,2,112
50,50,0,0,2,36,12,3,55,2,110
51,51,0,0,2,35,14,3,55,2,111
52,52,13,1,3,35,14,2,55,2,111
53,53,0,0,3,35,14,2,55,2,111
54,54,0,0,3,35,12,3,57,2,112
55,55,0,0,3,35,12,3,57,2,112
56,56,0,0,3,35,12,3,57,2,112
57,57,0,0,2,36,12,3,55,2,110
58,58,0,0,2,35,14,3,55,2,111
59,59,14,1,3,35,14,2,55,2,111
60,60,0,0,3,35,14,2,55,2,111
61,61,0,0,3,35,12,3,57,2,112
62,62,0,0,3,35,12,3,57,2,112
63,63,0,0,3,35,12,3,57,2,112
64,64,0,0,2,36,12,3,55,2,110
65,65,0,0,2,36,12,3,55,2,110
66,66,14,1,3,35,14,2,55,2,111
67,67,0,0,3,35,14,2,55,2,111
68,68,0,0,3,35,14,2,55,2,111
69,69,0,0,3,35,12,3,57,2,112
70,70,0,0,3,35,12,3,57,2,112
71,71,0,0,3,35,12,3,57,2,112
72,72,0,0,2,36,12,3,55,2,110
73,73,0,0,2,35,14,3,55,2,111
74,74,13,1,3,35,14,2,55,2,111
75,75,0,0,3,35,14,2,55,2,111
76,76,0,0,3,35,12,3,57,2,112
77,77,0,0,3,35,12,3,57,2,112
78,78,0,0,3,35,12,3,57,2,112
79,79,0,0,2,36,12,3,55,2,110
80,80,0,0,2,35,14,3,55,2,111
81,81,14,1,3,35,14,2,55,2,111
82,82,0,0,3,35,14,2,55,2,111
83,83,0,0,3,35,12,3,57,2,112
84,84,0,0,3,35,12,3,57,2,112
85,85,0,0,3,35,12,3,57,2,112
86,86,0,0,2,36,12,3,57,2,112
87,87,0,0,2,36,12,3,55,2,110
88,88,0,0,2,35,14,3,55,2,111
89,89,14,1,3,35,14,2,55,2,111
90,90,0,0,3,35,14,2,55,2,111
91,91,0,0,3,35,12,3,57,2,112
92,92,0,0,3,35,12,3,57,2,112
93,93,0,0,3,35,12,3,57,2,112
94,94,0,0,2,36,12,3,55,2,110
95,95,0,0,2,35,14,3,55,2,111
96,96,14,1,3,35,14,2,55,2,111
97,97,0,0,3,35,14,2,55,2,111
98,98,0,0,3,35,12,3,57,2,112
99,99,0,0,3,35,12,3,57,2,112
100,100,0,0,3,35,12,3,57,2,112
101,101,0,0,2,36,12,3,55,2,110
102,102,0,0,2,36,12,3,55,2,110
103,103,14,1,3,35,14,2,55,2,111
104,104,0,0,3,35,14,2,55,2,111
105,105,0,0,3,35,14,2,55,2,111
106,106,0,0,3,35,12,3,57,2,112
107,107,0,0,3,35,12,3,57,2,112
108,108,0,0,3,35,12,3,57,2,112
109,109,0,0,2,36,12,3,55,2,110
110,110,0,0,2,35,14,3,55,2,111
111,111,14,1,3,35,14,2,55,2,111
112,112,0,0,3,35,14,2,55,2,111
113,113,0,0,3,35,12,3,57,2,112
114,114,0,0,3,35,12,3,57,2,112
115,115,0,0,3,35,12,3,57,2,112
116,116,0,0,2,36,12,3,56,2,111
117,117,0,0,2,35,14,3,56,2,112
118,118,14,1,3,35,14,2,56,2,112
119,119,0,0,3,35,14,2,56,2,112
120,120,0,0,3,35,12,3,57,2,112
121,121,0,0,3,35,12,3,57,2,112
122,122,0,0,3,35,12,3,57,2,112
123,123,0,0,2,36,12,3,57,2,112
124,124,0,0,2,36,12,3,55,2,110
125,125,0,0,2,35,14,3,55,2,111
126,126,14,1,3,35,14,2,55,2,111
127,127,0,0,3,35,14,2,55,2,111
128,128,0,0,3,35,12,3,57,2,112
129,129,0,0,3,35,12,3,57,2,112
130,130,0,0,3,35,12,3,57,2,112
131,131,0,0,2,37,12,3,55,2,111
132,132,0,0,2,35,14,3,55,2,111
133,133,14,1,3,35,14,2,55,2,111
134,134,0,0,3,35,14,2,55,2,111
135,135,0,0,3,35,12,3,57,2,112
136,136,0,0,3,35,12,3,57,2,112
137,137,0,0,3,35,12,3,57,2,112
138,138,0,0,2,37,12,3,55,2,111
139,139,0,0,2,35,14,3,55,2,111
140,140,13,1,3,35,14,2,55,2,111
141,141,0,0,3,35,14,2,55,2,111
142,142,0,0,3,35,14,2,55,2,111
143,143,0,0,3,35,12,3,57,2,112
144,144,0,0,3,35,12,3,57,2,112
145,145,0,0,3,35,12,3,57,2,112
146,146,0,0,2,37,12,3,55,2,111
147,147,0,0,2,35,14,3,55,2,111
148,148,14,1,3,35,14,2,55,2,111
149,149,0,0,3,35,14,2,55,2,111
150,150,0,0,3,35,12,3,57,2,112
151,151,0,0,3,35,12,3,57,2,112
152,152,0,0,3,35,12,3,57,2,112
153,153,0,0,2,37,12,3,55,2,111
154,154,0,0,2,35,14,3,55,2,111
155,155,13,1,3,35,14,2,55,2,111
156,156,0,0,3,35,14,2,55,2,111
157,157,0,0,3,35,12,3,57,2,112
158,158,0,0,3,35,12,3,57,2,112
159,159,0,0,3,35,12,3,57,2,112
160,160,0,0,2,37,12,3,56,2,112
161,161,0,0,2,37,12,3,56,2,112
162,162,0,0,2,35,14,3,56,2,112
163,163,14,1,3,35,14,2,56,2,112
164,164,0,0,3,35,14,2,56,2,112
165,165,0,0,3,35,12,3,57,2,112
166,166,0,0,3,35,12,3,57,2,112
167,167,0,0,3,35,12,3,57,2,112
168,168,0,0,2,37,12,3,55,2,111
169,169,0,0,2,35,14,3,55,2,111
170,170,14,1,3,35,14,2,55,2,111
171,171,0,0,3,35,14,2,55,2,111
172,172,0,0,3,35,12,3,57,2,112
173,173,0,0,3,35,12,3,57,2,112
174,174,0,0,3,35,12,3,57,2,112
175,175,0,0,2,37,12,3,55,2,111
176,176,0,0,2,35,14,3,55,2,111
177,177,14,1,3,35,14,2,55,2,111
178,178,0,0,3,35,14,2,55,2,111
179,179,0,0,3,35,12,3,57,2,112
180,180,0,0,3,35,12,3,57,2,112
181,181,0,0,3,35,12,3,57,2,112
182,182,0,0,3,35,12,3,57,2,112
183,183,0,0,2,37,12,3,55,2,111
184,184,0,0,2,35,14,3,55,2,111
185,185,13,1,3,35,14,2,55,2,111
186,186,0,0,3,35,14,2,55,2,111
187,187,0,0,3,35,12,3,57,2,112
188,188,0,0,3,35,12,3,57,2,112
189,189,0,0,3,35,12,3,57,2,112
190,190,0,0,2,37,12,3,55,2,111
191,191,0,0,2,35,14,3,55,2,111
192,192,14,1,3,35,14,2,55,2,111
193,193,0,0,3,35,14,2,55,2,111
194,194,0,0,3,35,12,3,57,2,112
195,195,0,0,3,35,12,3,57,2,112
196,196,0,0,3,35,12,3,57,2,112
197,197,0,0,2,37,12,3,55,2,111
198,198,0,0,2,37,12,3,55,2,111
199,199,13,1,3,35,14,2,55,2,111
200,200,0,0,3,35,14,2,55,2,111
201,201,0,0,3,35,14,2,55,2,111
202,202,0,0,3,35,12,3,57,2,112
203,203,0,0,3,35,12,3,57,2,112
204,204,0,0,3,35,12,3,57,2,112
205,205,0,0,2,37,12,3,55,2,111
206,206,0,0,2,35,14,3,55,2,111
207,207,14,1,3,35,14,2,55,2,111
208,208,0,0,3,35,14,2,55,2,111
209,209,0,0,3,35,12,3,57,2,112
210,210,0,0,3,35,12,3,57,2,112
211,211,0,0,3,35,12,3,57,2,112
212,212,0,0,2,37,12,3,55,2,111
213,213,0,0,2,35,14,3,55,2,111
214,214,14,1,3,35,14,2,55,2,111
215,215,0,0,3,35,14,2,55,2,111
216,216,0,0,3,35,12,3,57,2,112
217,217,0,0,3,35,12,3,57,2,112
218,218,0,0,3,35,12,3,57,2,112
219,219,0,0,2,36,12,3,57,2,112
220,220,0,0,2,36,12,3,55,2,110
221,221,0,0,2,35,14,3,55,2,111
222,222,13,1,3,35,14,2,55,2,111
223,223,0,0,3,35,14,2,55,2,111
224,224,0,0,3,35,12,3,57,2,112
225,225,0,0,3,35,12,3,57,2,112
226,226,0,0,3,35,12,3,57,2,112
227,227,0,0,2,37,12,3,55,2,111
228,228,0,0,2,35,14,3,55,2,111
